# Armin sähköpostista otetut arvot CsPbBr3-xClx hilaparametreille
# x a b c
0.000 8.2145 8.2068 11.6362
0.390 8.1707 8.1643 11.5707
0.898 8.1161 8.1112 11.4890
1.499 8.0613 8.0580 11.0709
2.034 8.0066 8.0049 11.3253
2.960 7.9136 7.9145 11.1861

