#GIXRD fit results for sample series 220615							
#First peak							
#Sample (s)	Position (deg)		Area (arb. units)		FWHM (deg)		Comment
0	15.1423472656948	0.007689311706571	337.192676389074	12.4643529327613	0.359232510369081	0.0108059769367	
8	15.3186217932131	0.007071316319356	619.102376956564	21.5590909321904	0.377074502620177	0.010416552025656	
13	15.5745379127003	0.007816900468013	327.082981443029	11.9128417445938	0.312916177303109	0.00987508230899	
25	15.2830979202648	0.011264031961456	295.909013660248	17.0910156557707	0.399518874534503	0.017703301307627	
120	15.4359410113	0.008368176544424	290.606680219518	11.4558236926822	0.333454175885933	0.011080501955021	
180	15.4496686879064	0.008515157912963	358.474983150237	14.5533131653863	0.369929789237755	0.012065945579036	
300	15.5170929549919	0.007791591216887	440.073646914677	15.9740984040033	0.362609647224475	0.010707734093926	
							
							
#Second peak							
#Sample (s)	Position (deg)		Area (arb. units)		FWHM (deg)		
0	21.5511036958941	0.007054077610695	665.023780885841	10.9532252675175	0.495754293833673	0.007932290402046	
8	21.7300249795947	0.009356216263814	488.191344931135	10.3295041709722	0.523561407602732	0.010635437610462	
13	22.0488521665969	0.007195672494323	1113.85578785143	19.3081183450452	0.471451659054311	0.008019881990945	“peak shape differs from others, more symmetric and square-like”
25	21.7514261820211	0.007463810825941	661.374903016117	11.4843049252178	0.498724777627742	0.00840241877358	
120	21.9093688156781	0.006446325387617	959.035628932666	14.5455534327429	0.489568991262885	0.007232102949482	
180	21.9529880835285	0.008370110323158	1115.90119446956	21.0025403874936	0.528907676625138	0.009535106947062	
300	22.0120582959617	0.010416910866291	494.552138504159	11.8933137793159	0.505195806075711	0.011755811074352	
							
							
#Third peak							
#Sample (s)	Position (deg)		Area (arb. units)		FWHM (deg)		
0	30.6439429151143	0.013510294554512	800.344542577723	25.8370580870207	0.674077423747304	0.018203838349195	
8	30.9981778063651	0.010610516526601	1226.31799707393	30.5216245046782	0.693497097211424	0.014287365259949	
13	31.4860863414815	0.012086765783913	628.786057635712	17.3672907856617	0.599432243452863	0.014664310266951	
25	30.9423342849655	0.012841711786951	772.360579639238	23.3874074363134	0.685112551399247	0.017252747793012	
120	31.2316078645482	0.013238686297861	636.034306204931	19.535465778188	0.625414248712663	0.016640093996782	
180	31.2757811152618	0.01345110948052	647.722258701605	19.7758834823926	0.664135642263817	0.017209881962993	
300	31.4024376802732	0.011383075662599	1119.94010144927	28.1275634028007	0.675870714923836	0.014427841174218	

